price_id,price
1,20
2,21
3,22
4,23
5,24
6,25
7,26
8,27
9,28
10,29
11,30
12,31
13,32
14,33
15,34
16,35
17,36
18,37
19,38
20,39
21,40
22,41
23,42
24,43
25,44
26,45
27,46
28,47
29,48
30,49
31,50
32,51
33,52
34,53
35,54
36,55
37,56
38,57
39,58
40,59
41,60
42,61
43,62
44,63
45,64
46,65
47,66
48,67
49,68
50,69
51,70
52,71
53,72
54,73
55,74
56,75
57,76
58,77
59,78
60,79
61,80
62,81
63,82
64,83
65,84
66,85
67,86
68,87
69,88
70,89
71,90
72,91
73,92
74,93
75,94
76,95
77,96
78,97
79,98
80,99
81,100